,City Name,Temp,Humidity,Cloudiness,Wind Speed,Latitude,Longitude,Country,Max Temp,Date
0,Mount Gambier,48.72,90,76,8.63,-37.83,140.78,AU,48.72,1533524821
1,Port Elizabeth,79.72,83,1,3.36,39.31,-74.98,US,80.6,1533524100
2,Port Hedland,68.0,16,0,20.8,-20.31,118.58,AU,68.0,1533521640
3,Kodiak,86.0,48,1,10.29,39.95,-94.76,US,86.0,1533520380
4,Port Blair,82.02,100,92,30.11,11.67,92.75,IN,82.02,1533524822
5,Bend,81.52,28,1,5.82,44.06,-121.32,US,82.4,1533524160
6,Chambery,68.95,82,0,8.05,45.57,5.93,FR,73.4,1533524400
7,Katangli,60.87,79,0,8.97,51.71,143.23,RU,60.87,1533524824
8,Qiongshan,86.0,79,40,4.47,20.01,110.35,CN,86.0,1533520800
9,Leningradskiy,36.57,98,80,7.52,69.38,178.42,RU,36.57,1533524824
10,Hermanus,49.62,82,48,9.75,-34.42,19.24,ZA,49.62,1533524686
11,Atuona,79.77,99,0,20.6,-9.8,-139.03,PF,79.77,1533524825
12,Port Alfred,51.42,100,0,4.94,-33.59,26.89,ZA,51.42,1533524825
13,Papara,80.6,78,75,13.87,-3.98,-38.73,BR,80.6,1533524400
14,Punta Arenas,32.0,100,90,6.93,-53.16,-70.91,CL,32.0,1533520800
15,Ushuaia,32.0,100,0,5.82,-54.81,-68.31,AR,32.0,1533520800
16,Georgetown,77.0,94,0,4.7,6.8,-58.16,GY,77.0,1533520800
17,Ukiah,86.0,13,1,8.05,39.15,-123.21,US,86.0,1533520560
18,Hilo,78.55,74,75,11.41,19.71,-155.08,US,80.6,1533520560
19,Albany,70.56,83,20,3.04,42.65,-73.75,US,75.2,1533524040
20,Husavik,59.16,88,0,10.76,50.56,-96.99,CA,59.16,1533524829
21,Nikolskoye,62.6,93,20,6.71,59.7,30.79,RU,62.6,1533522600
22,Pisco,62.6,82,90,9.17,-13.71,-76.2,PE,62.6,1533520800
23,Cabedelo,69.8,106,20,4.7,-6.97,-34.84,BR,69.8,1533520800
24,Tarko-Sale,52.59,89,48,6.17,64.92,77.78,RU,52.59,1533524831
